session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5e9cf7cf027332231a18e75e,5e9ce99a8035dd1cf6b23aa7,AWAITING REVIEW,2020-04-20 1:16:04,2020-04-20 1:42:00,1555.767,19,0,0,100,,34AE75B1,Poland,,Part-Time,Polish,Poland,Male,Yes
5e9cf80d2ab21322dec92475,5e9ce901a746bc21794c1cde,AWAITING REVIEW,2020-04-20 1:17:08,2020-04-20 1:44:50,1661.764,27,0,0,100,,34AE75B1,United States,United States,Full-Time,English,United States,Female,No
5e9d00ad172c7e2392ead5bc,5ba5a93f38803d000126567d,AWAITING REVIEW,2020-04-20 1:53:53,2020-04-20 2:36:22,2549.349,33,111,0,100,,34AE75B1,Chile,Chile,Other,Spanish,Chile,Female,No
5e9d01286976671eab534703,5c4271f51b4bf300018b0920,AWAITING REVIEW,2020-04-20 1:55:53,2020-04-20 2:21:26,1533.096,19,114,4,97,,34AE75B1,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,Portugal,Male,Yes
5e9d0150b46e261ebf6106be,5e9be48c8bab2c0fb2fe4d39,AWAITING REVIEW,2020-04-20 1:56:38,2020-04-20 2:23:51,1633.091,37,0,0,100,,34AE75B1,United Kingdom,Canada,Full-Time,English,Canada,Male,Yes
5e9d015e0f475922b7379cd3,5d82852ae7a57100011a6122,AWAITING REVIEW,2020-04-20 1:56:48,2020-04-20 2:18:50,1322.923,19,33,0,100,,34AE75B1,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Male,No
5e9d01719daa3f235ff92188,5e9c853dcb10b71afe4035f3,AWAITING REVIEW,2020-04-20 1:57:08,2020-04-20 2:21:36,1467.734,24,0,0,100,,34AE75B1,India,Canada,Part-Time,Hindi,Canada,Male,Yes
5e9d0bc7b46e261f1327e63c,5e9d05aab46e261ebf6106c6,AWAITING REVIEW,2020-04-20 2:41:15,2020-04-20 3:02:18,1262.438,22,0,0,100,,34AE75B1,United States,United States,Unemployed (and job seeking),Chinese,United States,Female,Yes
5e9d0bdc56b31c23d9d5332a,5e9cf75b0e7d2121cd33e1fd,AWAITING REVIEW,2020-04-20 2:41:36,2020-04-20 3:10:35,1738.757,28,0,0,100,,34AE75B1,United States,United States,Full-Time,English,United States,Female,Yes
5e9d0c3e8f221424683b83be,5e9b0ea3c99dc20008ede88e,AWAITING REVIEW,2020-04-20 2:43:10,2020-04-20 3:55:05,4315.147,19,0,0,100,,34AE75B1,,,,,,,
